Wallet,Balance,Type
0x35E53d176723b7516C559634181bcEad354c93F1,386575192.004596,contract
0xf628f33a9174dde7100249A84800eE849139b1A2,221737607.179042,contract
0x23fa4b73F80fbB1563792662C434D307bF49b224,160000000.000000,contract
0xf1Ff4342EcD100213Ab3FbbdbC13EF84C77ef38A,111838173.963098,contract
0xB78d353042596448ef067Dad0f92EaA9373FDA7D,32264906.605488,contract
0x5338968F9646e4A865D76e07C2A6E340Dd3aC462,646652.630139,contract
0x1b933598d91C104fDaB8826CC5c944C81fB4A67D,10305.000000,contract
0x23b5aa437CfDaF03235d78961e032dbA549dFc06,19.261844,contract
0xf6EaC236757e82D6772E8bD02D36a0c791d78C51,14.000000,contract
0x07964f135f276412b3182a3B2407b8dd45000000,9.601175,contract
0xb01F8f528702d411d24c9bB8Cc0e2ffF779ec013,0.666869,contract
0x1111111254EEB25477B68fb85Ed929f73A960582,0.000001,contract
0xD4A89a316c603F85d130b2B630b0Fe57873FeDe1,0.000001,contract
0x580a6101e0D1808DBB4FF640D53b6F7104084982,0.000001,contract
0xd1B47490209CcB7A806E8a45d9479490C040ABf4,0.000001,contract
0x98fdf99287613d95E72C656bF02CE017cE964b63,39753061.000000,wallet
0xfcC180ea6858D31c2104Cc254E78EDa4b5A5e42d,4579541.691147,wallet
0xeb66402E3b61996e7AE5BF09AbC01a04d49D6833,230001.774391,wallet
0x261612c1896227025432F1770ca485946506D346,45730.402148,wallet
0x28741dF43387f7BD7707BA0415731a7E93B4a784,28586.036604,wallet
0x0480EAAb70Ef9760FAd97F10340598489EBa3151,25732.000000,wallet
0x5d47c11913203db165c231Cb3f7e87B72de903a2,20504.494645,wallet
0x97eBcc2Ea3DBD6230eE2BCBa5253C60AB60e6CAC,15002.328266,wallet
0x21c94b872ce990456D8B8CccD95CE9184167b885,14726.869136,wallet
0xB9b28e2288f0D42CEb059a9De8da84A35267C330,13370.968734,wallet
0x271fbcc5527493a302ED3b1FAFd452b15b35B87A,10864.378262,wallet
0xAb09C738d218885b1280731baF9a2Ae94d59196e,10152.913991,wallet
0x4f0cece6B608c1a51b5b0A73194b973de3E40D48,9025.663609,wallet
0xF75DFe2Fc71a94548a72E8C454bd66a203f9DBc9,8784.175747,wallet
0x704Dd52134a4024242292Ba4dBCD271fE0Be87Ec,8299.911521,wallet
0x1916b616A5B9950BbB5eA1ADd7faD5fE098d089E,8139.264635,wallet
0x8B20Ebd7A32b332D1e14D9aD8b7baCB645Bb3a29,8060.000000,wallet
0xd9203443bAFE046bF0cCD94E588c68d9B9cE57f9,7063.444901,wallet
0x242F7A4389a5Cd6B22ebBd5E5c7FaC8A0379cb13,6686.252813,wallet
0x888eA37AD4749895ba2623391aFe2Ba667deC43d,6585.490104,wallet
0xAE96728D781406C3704EA046aa5F15661bD81A09,6566.480000,wallet
0x30c60F23E212bC9877AA93ce1d5184ac1985d53f,6260.000000,wallet
0xb54C2116241458530f643eE4315a8B4AFAFeAc81,6249.388121,wallet
0x832E4e8B261aCF90B7f0b718A576707b49b1F963,5925.760000,wallet
0xe2846863628Ba558f5a1b529277e3fF342fa21E7,5925.760000,wallet
0x17CADaA8E46390c399E4a2388cA388525C26a2A0,5917.570021,wallet
0x0B51Cff5880040baCB9e4374874DF90AD4bECfe6,5851.688000,wallet
0x5300B7357040b2Dfd479E7D2a3D4cbb2E23f64a3,5774.796965,wallet
0x5d972d663f2E1BAEc569F0fB1bE8CA824C2c57B0,5766.505200,wallet
0x2D2FeC9dF888860fEd6ae76E3051A069E2a4f7ac,5500.631493,wallet
0xa09FFBb7120B1cb8a84f7C34F2fBfc125dFB6318,5487.627808,wallet
0x6598CEA55DA6f0bf3E193A25A86DB3Abc4190848,5459.584977,wallet
0x5Ed0D83Ba4e3FDc8b67f7fFF88f1834C9d402c49,5293.302562,wallet
0xE1218F375937Dbb1c5A11454168f739e6017eF0e,5115.819459,wallet
0x39813F29e8Bf77bf23B2220ad1dd5281744d617F,5104.559793,wallet
0xCa2BeCEC61d3C73B26ce4F7BC02aC095bF2d7164,4777.644000,wallet
0x306E1bb641c337a0e2ea1Ce4e94d5677E434FA33,4578.865481,wallet
0x7093afB1F6d26AbeC71d90B8f11c678254658B74,4555.428000,wallet
0x96C625162f4109dD63652CD6131eD8D873266320,4407.578082,wallet
0xd55834d8b1446337154ae8dde09743C2E764C698,4367.116620,wallet
0x26782d565a60e59b17b6cA62B087553682eBDEAC,4354.645538,wallet
0x235809aaB4315d15cB261389584A7D33739349C2,4073.960000,wallet
0x99c52225542d58f30b1f3a127905Ba6B151480F5,4007.333519,wallet
0xd1Cf493912664fe834Ee9DBbE777DbDD4343Ca3D,3999.888000,wallet
0x8Aa8e726098051a3840BfC915EFE7330f48bC4ca,3925.760000,wallet
0x413f0274AcC552C6bb7fcA84A4c96bF92B24b13B,3814.710767,wallet
